,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
150.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
151.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
152.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
153.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
154.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
155.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
156.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
157.0,2.0,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер",,
158.0,11.0,"тело, организм, продукт, вес, поэтому, также, здоровье, время, питание, кожа",,
159.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
160.0,27.0,"день, сегодня, утро, вечер, час, ночь, вчера, спать, завтра, хотеться",,
161.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
162.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
163.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
164.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
165.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
166.0,22.0,"очень, фотография, сделать, фото, снимать, интересный, получиться, картинка, кадр, делать",,
167.0,1.0,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать",,
168.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",,
169.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
170.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
171.0,9.0,"нужный, важный, мочь, время, результат, цель, очень, вопрос, дело, способ",,
172.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
173.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
174.0,17.0,"рука, собака, дверь, кошка, дом, животное, окно, кот, глаз, комната",,
175.0,16.0,"город, дом, год, улица, здание, место, находиться, вид, парк, музей",,
176.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
177.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
178.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
179.0,26.0,"знать, сказать, говорить, почему, хотеть, вопрос, понимать, вообще, думать, слово",,
180.0,29.0,"очень, интересный, канал, писать, спасибо, статья, читать, хотеть, комментарий, подписываитесь",,
181.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
182.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
183.0,7.0,"вообще, вполне, например, правда, часть, первый, совершенно, факт, слово, однако",,
184.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
