,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
122.0,14.0,"вообще, дело, очень, стать, хотеть, сказать, деиствительно, делать, кстати, прийтись",,
123.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
124.0,3.0,"работа, школа, работать, заниматься, учиться, учитель, курс, образование, знать, класс",,
125.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
126.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
127.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
128.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
129.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
130.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
131.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
132.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",,
133.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
134.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
135.0,20.0,"машина, автомобиль, год, мочь, земля, самолёт, машин, скорость, солнце, водитель",,
136.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
137.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
138.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
139.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
140.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
141.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
142.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
143.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
144.0,6.0,"игра, команда, стать, играть, клуб, победа, хороший, счёт, игрок, матч",,
145.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
146.0,7.0,"время, час, работать, друг, знать, человек, день, ходить, решить, сидеть",,
147.0,29.0,"канал, статья, спасибо, подписываитесь, посмотреть, пара, комментарий, дом, комната, окно",,
148.0,26.0,"продукт, организм, мочь, питание, также, вода, вид, растение, кофе, полезный",,
149.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
150.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
151.0,24.0,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр",,
152.0,10.0,"ребёнок, женщина, мужчина, семья, детеи, жизнь, муж, мама, жена, девушка",,
153.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
154.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
155.0,16.0,"день, время, год, новый, очень, место, праздник, ждать, знак, лето",,
156.0,4.0,"любить, любовь, думать, чувство, хотеть, говорить, чувствовать, знать, казаться, хотеться",,
157.0,1.0,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать",,
158.0,12.0,"тело, человек, врач, время, исследование, болезнь, здоровье, мозг, помощь, учёный",,
159.0,17.0,"деньга, компания, цена, рынок, бизнес, рублеи, год, товар, рост, купить",,
160.0,29.0,"канал, статья, спасибо, подписываитесь, посмотреть, пара, комментарий, дом, комната, окно",,
161.0,18.0,"интернет, проект, программа, тема, нужный, саит, реклама, ссылка, работа, компьютер",,
162.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
163.0,11.0,"год, страна, тысяча, область, регион, работать, стать, налог, государство, население",,
164.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
165.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
166.0,1.0,"фотография, очень, фото, стоять, снимать, вкус, камера, получить, фотограф, делать",,
167.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
168.0,9.0,"фильм, книга, год, история, музыка, автор, картина, герой, группа, песня",,
169.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
170.0,8.0,"закон, право, документ, решение, суд, иметь, сотрудник, мочь, получить, лицо",,
171.0,0.0,"жизнь, человек, нужный, делать, проблема, цель, желание, работа, отношение, мысль",,
172.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
173.0,19.0,"президент, власть, глава, выбор, политик, государство, сми, также, говорить, журналист",,
174.0,25.0,"животное, жизнь, собака, жить, кошка, знать, рука, голова, убивать, умереть",,
175.0,24.0,"дом, город, место, улица, дорога, здание, строительство, квартира, деревня, метр",,
176.0,30.0,"военный, ракета, американский, еврей, воин, американец, стать, воины, план, территория",,
177.0,15.0,"власть, народ, страна, русский, стать, часть, советский, город, оригинал_взят, национальный",,
